V_flux,V_flux_err,V_mag,V_mag_err,I_flux,I_flux_err,I_mag,I_mag_err,V_minus_I,color_err,X_pos,Y_pos,Main_Sequence
274.1612,3.3361,19.9089,0.0132,184.4375,1.3744,19.0339,0.0081,0.8750,0.0155,4928.0000,2001.0000,True
274.0298,3.3307,19.9094,0.0132,170.9887,1.2631,19.1161,0.0080,0.7933,0.0154,2945.0000,3107.0000,True
271.3608,3.2951,19.9200,0.0132,169.6612,1.2456,19.1245,0.0080,0.7955,0.0154,2578.0000,2903.0000,True
271.2521,3.2884,19.9205,0.0132,168.2938,1.2742,19.1333,0.0082,0.7871,0.0155,3187.0000,2358.0000,True
270.6549,3.2800,19.9229,0.0132,135.9940,1.0098,19.3647,0.0081,0.5582,0.0154,1397.0000,1809.0000,False
269.5695,3.2842,19.9272,0.0132,228.6962,1.6545,18.8004,0.0079,1.1269,0.0154,3689.0000,4194.0000,False
268.4998,3.4233,19.9315,0.0138,165.8718,1.2475,19.1491,0.0082,0.7825,0.0161,3773.0000,758.0000,True
268.1789,3.2571,19.9328,0.0132,192.6213,1.4182,18.9867,0.0080,0.9461,0.0154,4793.0000,1862.0000,True
268.1529,3.2538,19.9329,0.0132,180.6241,1.3145,19.0566,0.0079,0.8764,0.0154,2166.0000,3276.0000,True
267.4293,3.2647,19.9359,0.0133,160.6834,1.1936,19.1836,0.0081,0.7523,0.0155,5076.0000,5457.0000,True
266.4177,3.2361,19.9400,0.0132,165.2973,1.2128,19.1528,0.0080,0.7872,0.0154,4923.0000,4253.0000,True
265.5098,3.2371,19.9437,0.0132,204.0877,1.5474,18.9240,0.0082,1.0197,0.0156,275.0000,1880.0000,False
264.4610,3.2374,19.9480,0.0133,171.4966,1.3040,19.1129,0.0083,0.8351,0.0156,4690.0000,4533.0000,True
264.3394,3.2016,19.9485,0.0132,199.6417,1.4877,18.9479,0.0081,1.0006,0.0154,4023.0000,5345.0000,False
264.2291,3.2404,19.9489,0.0133,157.1220,1.1710,19.2079,0.0081,0.7410,0.0156,3035.0000,1328.0000,True
